ClaveProveedor,NumFac,FechaFac,ValorComercial,Moneda,Incoterm,SubdV,CertOrigin,NúmeroItem,PartidaPed,NúmeroParte,ModeloCOVE,SubModeloCOVE,Fracción,Descripción,Vendedor,Origen,ClaveUMC,CantUMC,ClaveUMT,CantUMT,ValorMercancía,Moneda(2),PreferenciaTL,IdentPref,MétVal,TipoMerc,UsoMerc,Vinc,Ident1,Ident2,Ident3,Ident4,Permisos1,Permisos2,ObservPart,MarcaCOVE,SerieCOVE,SubDiv
MAYOMO,32536,,54206.42,USD,CIF,,S,44,,1264,1264,,61112020,PANTALON CORTO PARA BEBE,ESP,CHN,6,10,6,10,48.5,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,45,,1265,1265,,62092015,PANTALON CORTO PARA BEBE,ESP,CHN,6,10,6,10,80.3,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,46,,1266,1266,,62092005,CAMISA PARA BEBE,ESP,MAR,6,10,6,10,80,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,47,,1266,1266,,62092015,PANTALON CORTO CON TIRANTES PARA BEBE,ESP,MAR,6,10,6,10,80,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,48,,1267,1267,,62092005,CAMISA PARA BEBE,ESP,MAR,6,30,6,30,238.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,49,,1267,1267,,62092015,PANTALON CORTO PARA BEBE,ESP,MAR,6,30,6,30,238.2,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,50,,1268,1268,,62092005,CAMISA PARA BEBE,ESP,MAR,6,10,6,10,72.8,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,51,,1268,1268,,62092015,PANTALON CORTO PARA BEBE,ESP,MAR,6,10,6,10,72.7,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,52,,1269,1269,,62092005,CAMISA PARA BEBE,ESP,MAR,6,10,6,10,86.7,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,53,,1269,1269,,62092015,PANTALON CORTO PARA BEBE,ESP,MAR,6,10,6,10,86.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
MAYOMO,32536,,54206.42,USD,CIF,,S,54,,1270,1270,,61112008,CAMISA TIPO POLO PARA BEBE,ESP,CHN,6,10,6,10,69.6,USD,,,,,,,"PB,UVNOM103,NOM-004-SCFI-2006",,,"EN,U,NOM-015-SCFI-2007",,,,MAYORAL Y DISENO,, 
