AÑO,FACTURA,ARTICULO,PIEZA,RANGO,DESCRIPCION ,DESCRIPCION MX,COMPOSICION,COMP. FORRO,TARIC,MX HS CODE,SUBDIVI,CANTIDAD,PRECIO UN.,"IMPORTE TOT,",MONEDA,ORIGEN,PESO NETO,PESO BRUTO,FACERR,SECCION ,MARCA,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,PUNTO / PLANA,SEXO,UMC,UMT,,,,,,,,,,,
2020,32191,511,0,NIÑAL     ,Pantalón                      ,PANTALON LARGO PARA NIÑA                                                                            , 96% ALGODÓN 4% elastano                                              ,                                                                      ,6104620000,61046292,  ,4,7.35,29.4,USD.,CN,0.752,0.959, ,Mini Niña           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,1,0,1,0,1,0,1,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,513,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034292,  ,15,7.15,107.25,USD.,BD,3.84,4.898, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,2,2,2,2,3,2,2,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,514,0,BEBE      ,Pantalón                      ,PANTALON LARGO PARA BEBE                                                                            , 65% ALGODÓN 33% poliéster 2% elastano                                ,                                                                      ,6111209000,61112019,  ,2,6.25,12.5,USD.,TR,0.23,0.293, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,516,0,HOMBREL   ,Pantalón                      ,PANTALON LARGO PARA HOMBRE                                                                          , 97% ALGODÓN 3% elastano                                              ,                                                                      ,6203423500,62034291,  ,5,9.85,49.25,USD.,BD,2.32,2.959,S,Niño                ,NUKUTAVAKE  ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,160,166,172,0,0,0,0,0,0,0,1,2,2,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,516,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO DE MEZCLILLA PARA NIÑO                                                               , 97% ALGODÓN 3% elastano                                              ,                                                                      ,6203423500,62034295,  ,1,9.85,9.85,USD.,BD,0.464,0.592,S,Niño                ,NUKUTAVAKE  ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,160,166,172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,521,0,BEBE      ,Pantalón                      ,PANTALONES LARGOS PARA BEBE                                                                         , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6209200090,62092014,  ,4,6.25,25,USD.,BD,0.7,0.893, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,521,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034292,  ,2,6.25,12.5,USD.,BD,0.352,0.449, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,547,0,HOMBREL   ,Pantalón                      ,PANTALON LARGO PARA HOMBRE                                                                          , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034291,  ,5,9.4,47,USD.,BD,2.16,2.755, ,Niño                ,NUKUTAVAKE  ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,160,166,172,0,0,0,0,0,0,0,1,1,3,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,547,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034292,  ,3,9.4,28.2,USD.,BD,1.296,1.653, ,Niño                ,NUKUTAVAKE  ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,160,166,172,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,560,0,BEBE      ,Pantalón                      ,PANTALON LARGO PARA BEBE                                                                            , 96% ALGODÓN 4% elastano                                              ,                                                                      ,6111209000,61112019,  ,8,5.5,44,USD.,CN,0.944,1.204, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,1,1,3,3,0,0,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,560,0,NIÑAL     ,Pantalón                      ,PANTALON LARGO PARA NIÑA                                                                            , 96% ALGODÓN 4% elastano                                              ,                                                                      ,6104620000,61046292,  ,4,5.5,22,USD.,CN,0.472,0.602, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,563,0,BEBE      ,Pantalón                      ,PANTALONES LARGOS PARA BEBE                                                                         , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6209200090,62092014,  ,5,6.15,30.75,USD.,BD,0.845,1.078, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,1,0,2,2,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,563,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034292,  ,3,6.15,18.45,USD.,BD,0.507,0.647, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,2,1,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,576,0,BEBE      ,Pantalón                      ,PANTALONES LARGOS PARA BEBE                                                                         , 69% ALGODÓN 29% poliéster 2% elastano                                ,                                                                      ,6209200090,62092014,  ,8,6.05,48.4,USD.,BD,1.056,1.347, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,1,1,4,2,0,0,0,0,0,0,Plana,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
